Record CTs CFN CTp CFP STs SFN STp SFP LTs LFN LTp LFP  CSe C+P SSe S+P LSe L+P
 100   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 101   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 102   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 103   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 104   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 105   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 106   0  75   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
 107   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 108   0   2   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
 109   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 111   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 112   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 113   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 114   0   1   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
 115   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 116   0   2   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
 117   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 118   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 119   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 121   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 122   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 123   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 124   0   0   0   0   0   0   0   0   0   3   0   0    -   -   -   -   0   -
 200   0  34   0   0   0   6   0   0   0   0   0   0    0   -   0   -   -   -
 201   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 202   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 203   0  54   0   0   0  15   0   0   0   2   0   0    0   -   0   -   0   -
 205   0   0   0   0   0   3   0   0   0   3   0   0    -   -   0   -   0   -
 207   0   0   0   0   0   0   0   0   0   1   0   0    -   -   -   -   0   -
 208   0 370   0   0   0   7   0   0   0   0   0   0    0   -   0   -   -   -
 209   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 210   0   9   0   0   0   1   0   0   0   2   0   0    0   -   0   -   0   -
 212   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 213   0   3   0   0   0   4   0   0   0   0   0   0    0   -   0   -   -   -
 214   0   6   0   0   0   2   0   0   0   0   0   0    0   -   0   -   -   -
 215   0  14   0   0   0   2   0   0   0   0   0   0    0   -   0   -   -   -
 217   0   8   0   0   0   1   0   0   0   0   0   0    0   -   0   -   -   -
 219   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 220   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 221   0   2   0   0   0   2   0   0   0   0   0   0    0   -   0   -   -   -
 222   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 223   0  25   0   0   0   5   0   0   0   2   0   0    0   -   0   -   0   -
 228   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 230   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 231   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 232   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
 233   0  51   0   0   0   5   0   0   0   0   0   0    0   -   0   -   -   -
 234   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
